score	soilType	localToHybrid maize ratio	planting days Std	random number seed
0.3299825752128083	WI_LVLS007	1.0	0.167	-1.99235171E9
2.9132334493412744	WI_ACLS021	0.28687404587349086	0.01	2.103541131E9
1.092932048742301	WI_LVLS007	0.0	0.13864713685292135	-1.99235171E9
0.5440514044144891	WI_PHCF014	0.7269168330076183	0.167	2.103541131E9
0.20589957618975177	WI_LVLS007	0.5797854695937468	0.167	1.165318306E9
1.4676543603985646	WI_ARBW401	1.0	0.167	3.26468804E8
0.9312726116611263	WI_CMYE107	0.0	0.167	-1.762626088E9
0.3153114352062743	WI_GLBW752	0.5797854695937468	0.13864713685292135	2.103541131E9
2.719529386404148	WI_CMTR038	0.7269168330076183	0.08001965419212999	5.09929616E8
0.9806613908993872	WI_LVLS007	0.0	0.15207207182758392	1.82779871E9
0.27551887816496545	WI_CMYE107	0.5419636345673424	0.15207207182758392	1.82779871E9
0.3903569150045532	WI_FLBD007	0.0	0.16276811747832598	1.594807776E9
1.3871790898307295	WI_CMTN008	0.47134549254087754	0.167	-1.313211165E9
0.9401484597814369	WI_ACLS021	0.5419636345673424	0.167	1.581278608E9
0.3332340235578678	WI_CMYE107	0.8288080937803501	0.15207207182758392	1.581278608E9
0.2333410039658367	WI_GLBW752	0.7449499159900936	0.167	8.85941147E8
0.3899101675760107	WI_FLBD007	0.8288080937803501	0.167	1.481201824E9
1.2204991313115574	WI_CMYE107	0.7449499159900936	0.01	-1.122725054E9
0.21271998252795374	WI_LVLS007	0.5478997081878392	0.167	1.4067132E7
0.8647797184496098	WI_LVLS007	1.0	0.1042101626527161	-1.779305108E9
3.378866109559966	WI_CMTR038	0.7449499159900936	0.01	-1.390452414E9
0.8844650047833174	WI_GLBW752	0.7449499159900936	0.07282848095781544	-1.258120925E9
0.5413676410512863	WI_PHCF014	0.7449499159900936	0.14425272063085504	3.2563242E8
0.4210010853398647	WI_VRZM080	0.5478997081878392	0.167	3.5810289E8
1.0372083314874065	WI_GLBW752	0.0	0.14431744581471215	-2341346.0
5.4075038265934365	WI_LVUY032	0.0	0.01	1.104861895E9
0.23081180758930317	WI_CMZR003	0.8795836692576563	0.167	-1.491315488E9
0.42878077550708943	WI_VRZM080	0.327228695062127	0.167	-1.9672575E9
0.7906107821869761	WI_CMYE107	0.9189664548242118	0.09993962690183808	1.384182712E9
0.24424326706804275	WI_CMZR003	0.9189664548242118	0.167	1.23338696E9
0.5463083592588084	WI_CMYE107	0.1635425338273701	0.167	-9.26468935E8
0.41508949802042006	WI_GLBW752	1.0	0.167	-9.26468935E8
1.1668306628562906	WI_CMZR003	1.0	0.012333396102347655	-1.406671004E9
0.3204675811525713	WI_LVLS007	1.0	0.167	-1.406671004E9
1.1026200070182743	WI_CMTN008	0.871184751338537	0.167	-1.406671004E9
0.34774374634552413	WI_CMZR003	1.0	0.167	1.36792233E8
1.1682090398890437	WI_FLSO001	1.0	0.01	1.479176643E9
0.6171323354028617	WI_VRZM080	0.0	0.167	-1.406671004E9
0.32067763766315693	WI_LVLS007	1.0	0.167	3.65226904E8
0.41010463488524646	WI_CMYE107	1.0	0.167	2.75792368E8
0.225526713198012	WI_LVLS007	0.8275681685413696	0.167	1.479176643E9
1.3144365847757375	WI_CMZR003	0.2347948759905779	0.167	-2.27335656E8
0.5193799868252107	WI_FLSO001	0.8275681685413696	0.167	-1.88421735E9
0.41010463488524646	WI_CMYE107	1.0	0.167	2.75792368E8
0.9034845583177478	WI_LVLS007	0.0	0.167	1.479176643E9
0.7873547834956445	WI_GLBW752	1.0	0.11318459070094442	-8.40190654E8
0.2341671387118088	WI_CMYE107	0.5797854695937468	0.167	-7.33964807E8
1.9050034860642533	WI_ARBW401	1.0	0.01	7.66954269E8
2.4305874397064775	WI_FRAO009	1.0	0.01	4.1664448E8
0.375243852000872	WI_GLBW752	0.282880829582811	0.167	-8.40190654E8
